Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Bayern Munich,28,28.3,14,€6.35m,€177.88m,Bundesliga,2005
,SV Werder Bremen,28,25.7,13,€3.99m,€111.60m,Bundesliga,2005
,Hamburger SV,35,25.1,17,€3.05m,€106.90m,Bundesliga,2005
,FC Schalke 04,32,25.8,15,€2.72m,€87.18m,Bundesliga,2005
,Bayer 04 Leverkusen,33,24.9,15,€2.46m,€81.23m,Bundesliga,2005
,Borussia Dortmund,35,24.0,14,€2.24m,€78.53m,Bundesliga,2005
,Hertha BSC,31,26.3,20,€2.35m,€72.70m,Bundesliga,2005
,VfB Stuttgart,33,26.5,13,€2.12m,€69.80m,Bundesliga,2005
,VfL Wolfsburg,32,28.0,22,€1.92m,€61.38m,Bundesliga,2005
,1.FC Nuremberg,32,25.7,16,€1.63m,€52.13m,Bundesliga,2005
,Borussia Mönchengladbach,34,27.5,21,€1.47m,€49.90m,Bundesliga,2005
,Hannover 96,33,26.1,13,€1.37m,€45.35m,Bundesliga,2005
,1.FC Köln,37,27.0,16,€1.18m,€43.63m,Bundesliga,2005
,Eintracht Frankfurt,32,26.7,13,€1.25m,€39.95m,Bundesliga,2005
,1.FSV Mainz 05,31,26.5,9,€1.22m,€37.75m,Bundesliga,2005
,1.FC Kaiserslautern,35,27.1,15,€1.07m,€37.38m,Bundesliga,2005
,Arminia Bielefeld,33,26.8,15,€995k,€32.85m,Bundesliga,2005
,MSV Duisburg,31,28.1,11,€780k,€24.18m,Bundesliga,2005
,Bayern Munich,30,27.0,16,€6.02m,€180.73m,Bundesliga,2006
,SV Werder Bremen,33,25.4,14,€4.77m,€157.25m,Bundesliga,2006
,FC Schalke 04,30,25.2,14,€3.55m,€106.60m,Bundesliga,2006
,Hamburger SV,36,25.4,19,€2.83m,€101.83m,Bundesliga,2006
,VfB Stuttgart,32,25.8,11,€3.03m,€97.08m,Bundesliga,2006
,Borussia Dortmund,32,24.5,14,€2.49m,€79.78m,Bundesliga,2006
,Bayer 04 Leverkusen,28,25.6,14,€2.65m,€74.08m,Bundesliga,2006
,Hertha BSC,32,26.1,19,€2.29m,€73.40m,Bundesliga,2006
,1.FC Nuremberg,31,26.0,20,€2.11m,€65.45m,Bundesliga,2006
,VfL Wolfsburg,30,27.4,21,€1.86m,€55.90m,Bundesliga,2006
,Eintracht Frankfurt,30,26.1,11,€1.77m,€52.95m,Bundesliga,2006
,Borussia Mönchengladbach,36,25.1,18,€1.27m,€45.85m,Bundesliga,2006
,Hannover 96,32,26.5,15,€1.43m,€45.85m,Bundesliga,2006
,VfL Bochum,32,27.7,15,€1.28m,€41.00m,Bundesliga,2006
,1.FSV Mainz 05,34,26.1,15,€1.06m,€36.03m,Bundesliga,2006
,Arminia Bielefeld,30,27.0,12,€1.19m,€35.60m,Bundesliga,2006
