Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,FC Barcelona,34,25.4,15,€9.63m,€327.50m,La_Liga,2005
,Real Madrid,36,25.4,13,€7.82m,€281.60m,La_Liga,2005
,Valencia CF,34,27.3,14,€6.28m,€213.55m,La_Liga,2005
,Atlético de Madrid,31,24.2,8,€4.33m,€134.15m,La_Liga,2005
,Deportivo de La Coruña,34,27.5,8,€3.94m,€133.80m,La_Liga,2005
,Sevilla FC,34,26.0,10,€2.85m,€96.85m,La_Liga,2005
,Real Betis Balompié,33,26.2,8,€2.60m,€85.95m,La_Liga,2005
,Villarreal CF,32,25.9,13,€2.56m,€82.00m,La_Liga,2005
,Real Zaragoza,25,27.7,7,€2.66m,€66.55m,La_Liga,2005
,RCD Espanyol Barcelona,31,25.5,9,€1.90m,€58.98m,La_Liga,2005
,Real Sociedad,31,25.9,7,€1.74m,€53.83m,La_Liga,2005
,Celta de Vigo,27,26.7,13,€1.79m,€48.30m,La_Liga,2005
,Athletic Bilbao,41,25.2,1,€1.15m,€47.23m,La_Liga,2005
,RCD Mallorca,31,26.1,15,€1.36m,€42.15m,La_Liga,2005
,CA Osasuna,25,26.6,7,€1.63m,€40.70m,La_Liga,2005
,Getafe CF,26,27.4,6,€1.40m,€36.38m,La_Liga,2005
,Deportivo Alavés,31,28.2,17,€1.12m,€34.83m,La_Liga,2005
,Racing Santander,34,25.4,8,€893k,€30.35m,La_Liga,2005
,Málaga CF,33,26.0,9,€849k,€28.03m,La_Liga,2005
,Cádiz CF,28,28.8,13,€791k,€22.15m,La_Liga,2005
,Real Madrid,39,25.3,15,€9.54m,€372.20m,La_Liga,2006
,FC Barcelona,32,26.4,18,€11.45m,€366.50m,La_Liga,2006
,Valencia CF,33,26.5,9,€7.05m,€232.70m,La_Liga,2006
,Atlético de Madrid,34,24.9,13,€5.12m,€174.00m,La_Liga,2006
,Sevilla FC,30,26.5,14,€4.66m,€139.80m,La_Liga,2006
,Real Zaragoza,26,27.1,8,€4.66m,€121.25m,La_Liga,2006
,Villarreal CF,33,27.0,16,€3.30m,€109.05m,La_Liga,2006
,Deportivo de La Coruña,33,25.3,10,€3.00m,€98.85m,La_Liga,2006
,Real Betis Balompié,34,27.1,12,€2.32m,€78.93m,La_Liga,2006
,CA Osasuna,34,25.2,7,€2.10m,€71.35m,La_Liga,2006
,RCD Espanyol Barcelona,34,25.2,9,€1.83m,€62.15m,La_Liga,2006
,RCD Mallorca,24,27.0,11,€2.30m,€55.30m,La_Liga,2006
,Athletic Bilbao,30,26.3,1,€1.83m,€54.90m,La_Liga,2006
,Celta de Vigo,32,26.5,16,€1.71m,€54.88m,La_Liga,2006
,Levante UD,30,29.9,17,€1.79m,€53.75m,La_Liga,2006
,Racing Santander,34,25.9,7,€1.45m,€49.30m,La_Liga,2006
,Real Sociedad,32,26.6,10,€1.41m,€45.20m,La_Liga,2006
,Recreativo Huelva,28,27.1,6,€1.50m,€41.90m,La_Liga,2006
,Getafe CF,25,28.0,7,€1.60m,€40.05m,La_Liga,2006
,Gimnàstic de Tarragona,34,29.3,10,€831k,€28.25m,La_Liga,2006
,FC Barcelona,34,26.2,15,€12.17m,€413.70m,La_Liga,2007
,Real Madrid,26,26.4,17,€13.68m,€355.80m,La_Liga,2007
,Valencia CF,30,26.7,10,€7.88m,€236.50m,La_Liga,2007
,Atlético de Madrid,37,25.8,16,€5.72m,€211.70m,La_Liga,2007
,Sevilla FC,35,26.3,20,€5.70m,€199.40m,La_Liga,2007
,Villarreal CF,30,26.8,15,€4.98m,€149.30m,La_Liga,2007
,RCD Espanyol Barcelona,30,26.1,10,€4.02m,€120.50m,La_Liga,2007
,Real Zaragoza,32,26.6,8,€3.75m,€119.90m,La_Liga,2007
,CA Osasuna,31,25.8,9,€2.64m,€81.90m,La_Liga,2007
,Real Betis Balompié,32,26.3,11,€2.53m,€81.10m,La_Liga,2007
,RCD Mallorca,29,26.2,12,€2.74m,€79.60m,La_Liga,2007
,Athletic Bilbao,32,26.7,1,€2.34m,€75.00m,La_Liga,2007
,Racing Santander,33,25.5,10,€2.23m,€73.70m,La_Liga,2007
,Deportivo de La Coruña,33,25.8,9,€2.18m,€72.10m,La_Liga,2007
,Getafe CF,32,26.0,9,€2.15m,€68.90m,La_Liga,2007
,UD Almería,26,26.4,9,€2.18m,€56.70m,La_Liga,2007
,Recreativo Huelva,29,27.4,12,€1.92m,€55.60m,La_Liga,2007
,Real Murcia CF,29,27.8,9,€1.73m,€50.10m,La_Liga,2007
,Real Valladolid CF,30,27.8,6,€1.59m,€47.65m,La_Liga,2007
,Levante UD,37,27.7,15,€1.12m,€41.50m,La_Liga,2007
,Real Madrid,36,26.0,20,€11.91m,€428.60m,La_Liga,2008
,FC Barcelona,34,25.3,14,€12.51m,€425.40m,La_Liga,2008
,Valencia CF,35,26.7,10,€6.50m,€227.50m,La_Liga,2008
,Atlético de Madrid,29,26.1,15,€7.63m,€221.40m,La_Liga,2008
