Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Olympique Lyon,28,25.4,11,€6.19m,€173.23m,Ligue_1,2005
,AS Monaco,35,25.8,16,€3.26m,€114.00m,Ligue_1,2005
,Olympique Marseille,48,24.9,26,€2.01m,€96.38m,Ligue_1,2005
,Paris Saint-Germain,31,26.0,17,€2.74m,€84.98m,Ligue_1,2005
,Stade Rennais FC,34,23.5,21,€2.28m,€77.55m,Ligue_1,2005
,LOSC Lille,33,24.2,15,€2.33m,€76.75m,Ligue_1,2005
,FC Girondins Bordeaux,29,25.6,14,€2.37m,€68.65m,Ligue_1,2005
,RC Lens,30,25.6,17,€2.27m,€68.00m,Ligue_1,2005
,AJ Auxerre,35,25.1,13,€1.79m,€62.75m,Ligue_1,2005
,AS Saint-Étienne,29,24.3,15,€2.15m,€62.30m,Ligue_1,2005
,FC Nantes,34,24.4,16,€1.52m,€51.60m,Ligue_1,2005
,FC Sochaux-Montbéliard,35,24.6,21,€1.46m,€51.00m,Ligue_1,2005
,FC Toulouse,30,24.6,11,€1.56m,€46.80m,Ligue_1,2005
,RC Strasbourg Alsace,35,24.2,17,€1.28m,€44.85m,Ligue_1,2005
,OGC Nice,29,26.0,13,€1.36m,€39.50m,Ligue_1,2005
,Le Mans Union Club 72,30,24.5,11,€1.25m,€37.50m,Ligue_1,2005
,FC Metz,42,24.1,27,€881k,€37.00m,Ligue_1,2005
,AS Nancy-Lorraine,31,24.5,14,€916k,€28.40m,Ligue_1,2005
,ESTAC Troyes,33,27.0,12,€852k,€28.13m,Ligue_1,2005
,AC Ajaccio,33,26.3,13,€761k,€25.10m,Ligue_1,2005
,Olympique Lyon,35,25.7,14,€6.76m,€236.45m,Ligue_1,2006
,Olympique Marseille,35,24.9,16,€3.41m,€119.30m,Ligue_1,2006
,LOSC Lille,32,24.7,16,€3.19m,€102.15m,Ligue_1,2006
,AS Monaco,36,25.6,21,€2.72m,€97.80m,Ligue_1,2006
,Paris Saint-Germain,33,25.6,15,€2.60m,€85.90m,Ligue_1,2006
,FC Girondins Bordeaux,35,24.8,19,€2.44m,€85.40m,Ligue_1,2006
,RC Lens,31,25.3,20,€2.64m,€81.85m,Ligue_1,2006
,AS Saint-Étienne,31,25.2,17,€2.62m,€81.10m,Ligue_1,2006
,Stade Rennais FC,33,24.6,19,€2.39m,€78.85m,Ligue_1,2006
,AJ Auxerre,38,24.2,18,€1.81m,€68.75m,Ligue_1,2006
,FC Sochaux-Montbéliard,32,25.9,17,€1.77m,€56.63m,Ligue_1,2006
,AS Nancy-Lorraine,33,25.9,16,€1.43m,€47.35m,Ligue_1,2006
,FC Toulouse,33,24.4,15,€1.41m,€46.40m,Ligue_1,2006
,Le Mans Union Club 72,31,23.7,16,€1.48m,€46.00m,Ligue_1,2006
,FC Nantes,37,24.9,22,€1.12m,€41.40m,Ligue_1,2006
,OGC Nice,29,25.9,13,€1.41m,€41.00m,Ligue_1,2006
,ESTAC Troyes,33,27.2,14,€895k,€29.55m,Ligue_1,2006
,CS Sedan-Ardennes,31,26.5,12,€834k,€25.85m,Ligue_1,2006
,FC Lorient,34,26.2,14,€714k,€24.28m,Ligue_1,2006
,Valenciennes FC,27,27.9,9,€877k,€23.68m,Ligue_1,2006
,Olympique Lyon,32,26.2,15,€6.67m,€213.35m,Ligue_1,2007
,Olympique Marseille,36,25.8,20,€3.84m,€138.35m,Ligue_1,2007
,FC Girondins Bordeaux,31,24.9,16,€3.25m,€100.75m,Ligue_1,2007
,AS Monaco,35,25.2,24,€2.56m,€89.75m,Ligue_1,2007
,RC Lens,35,26.2,20,€2.36m,€82.50m,Ligue_1,2007
,AS Saint-Étienne,26,25.4,14,€3.09m,€80.40m,Ligue_1,2007
,LOSC Lille,36,24.1,19,€2.08m,€74.90m,Ligue_1,2007
,Paris Saint-Germain,32,25.1,15,€2.30m,€73.45m,Ligue_1,2007
,Stade Rennais FC,36,25.4,13,€2.03m,€73.15m,Ligue_1,2007
,Le Mans Union Club 72,32,23.9,20,€2.18m,€69.85m,Ligue_1,2007
,FC Toulouse,32,25.2,15,€2.17m,€69.50m,Ligue_1,2007
,OGC Nice,32,26.5,14,€2.13m,€68.10m,Ligue_1,2007
,AS Nancy-Lorraine,28,26.1,14,€2.42m,€67.70m,Ligue_1,2007
,FC Sochaux-Montbéliard,32,25.4,15,€1.76m,€56.30m,Ligue_1,2007
,AJ Auxerre,33,24.7,18,€1.67m,€55.00m,Ligue_1,2007
,Valenciennes FC,25,27.5,12,€1.87m,€46.80m,Ligue_1,2007
,RC Strasbourg Alsace,36,25.1,16,€1.15m,€41.40m,Ligue_1,2007
