Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Chelsea FC,30,25.3,21,€12.11m,€363.43m,Premier_League,2005
,Manchester United,34,25.4,21,€7.49m,€254.58m,Premier_League,2005
,Arsenal FC,37,24.1,30,€6.28m,€232.33m,Premier_League,2005
,Liverpool FC,37,24.9,27,€5.85m,€216.35m,Premier_League,2005
,Tottenham Hotspur,32,26.3,16,€4.82m,€154.33m,Premier_League,2005
,Newcastle United,32,26.5,13,€4.70m,€150.48m,Premier_League,2005
,Middlesbrough FC,39,25.8,18,€2.42m,€94.38m,Premier_League,2005
,Everton FC,31,27.4,19,€3.00m,€92.92m,Premier_League,2005
,Manchester City,32,26.3,17,€2.87m,€91.90m,Premier_League,2005
,Aston Villa,31,25.6,18,€2.89m,€89.60m,Premier_League,2005
,Portsmouth FC,36,27.5,29,€2.39m,€86.13m,Premier_League,2005
,Charlton Athletic,36,26.6,21,€2.29m,€82.43m,Premier_League,2005
,Birmingham City,35,26.7,18,€2.34m,€81.83m,Premier_League,2005
,Fulham FC,33,27.7,24,€2.15m,€70.88m,Premier_League,2005
,West Bromwich Albion,32,26.6,15,€2.05m,€65.55m,Premier_League,2005
,Blackburn Rovers,28,28.2,21,€2.28m,€63.85m,Premier_League,2005
,West Ham United,33,25.7,14,€1.90m,€62.55m,Premier_League,2005
,Bolton Wanderers,32,26.8,23,€1.93m,€61.85m,Premier_League,2005
,Wigan Athletic,30,28.3,18,€1.73m,€51.92m,Premier_League,2005
,Sunderland AFC,31,25.2,20,€1.11m,€34.35m,Premier_League,2005
,Chelsea FC,37,24.8,25,€11.26m,€416.76m,Premier_League,2006
,Arsenal FC,38,23.9,32,€7.32m,€278.18m,Premier_League,2006
,Manchester United,38,25.0,19,€6.82m,€259.15m,Premier_League,2006
,Liverpool FC,38,24.7,25,€6.31m,€239.77m,Premier_League,2006
,Tottenham Hotspur,38,24.6,20,€4.36m,€165.73m,Premier_League,2006
,Newcastle United,35,25.7,23,€4.19m,€146.55m,Premier_League,2006
,Aston Villa,34,26.6,19,€3.22m,€109.50m,Premier_League,2006
,Everton FC,29,26.9,19,€3.77m,€109.45m,Premier_League,2006
,West Ham United,35,26.4,14,€3.01m,€105.45m,Premier_League,2006
,Portsmouth FC,32,27.6,20,€3.03m,€97.08m,Premier_League,2006
,Middlesbrough FC,35,25.0,16,€2.75m,€96.32m,Premier_League,2006
,Manchester City,34,25.9,18,€2.63m,€89.25m,Premier_League,2006
,Fulham FC,37,27.7,29,€2.29m,€84.68m,Premier_League,2006
,Blackburn Rovers,31,27.9,24,€2.55m,€78.90m,Premier_League,2006
,Wigan Athletic,37,27.6,25,€2.03m,€74.93m,Premier_League,2006
,Bolton Wanderers,34,26.1,26,€2.13m,€72.38m,Premier_League,2006
,Charlton Athletic,37,26.3,25,€1.93m,€71.47m,Premier_League,2006
,Sheffield United,43,26.9,20,€1.01m,€43.36m,Premier_League,2006
,Watford FC,43,24.4,21,€767k,€32.97m,Premier_League,2006
,Reading FC,38,24.9,26,€865k,€32.88m,Premier_League,2006
,Chelsea FC,39,25.7,25,€11.14m,€434.35m,Premier_League,2007
,Manchester United,38,25.2,21,€9.33m,€354.55m,Premier_League,2007
,Liverpool FC,41,24.0,26,€7.45m,€305.65m,Premier_League,2007
,Arsenal FC,35,23.3,30,€7.50m,€262.40m,Premier_League,2007
,Tottenham Hotspur,38,24.9,21,€5.80m,€220.50m,Premier_League,2007
,Everton FC,32,25.8,18,€4.85m,€155.30m,Premier_League,2007
,Manchester City,36,24.9,24,€4.17m,€150.10m,Premier_League,2007
,Portsmouth FC,33,27.0,22,€4.28m,€141.30m,Premier_League,2007
,Newcastle United,33,26.2,21,€4.10m,€135.20m,Premier_League,2007
,Middlesbrough FC,34,25.0,15,€3.56m,€120.90m,Premier_League,2007
,West Ham United,36,26.7,16,€3.33m,€120.00m,Premier_League,2007
,Aston Villa,25,25.7,11,€4.48m,€112.10m,Premier_League,2007
,Bolton Wanderers,42,26.3,30,€2.48m,€104.20m,Premier_League,2007
,Fulham FC,43,28.2,33,€2.30m,€99.05m,Premier_League,2007
,Blackburn Rovers,38,26.1,31,€2.39m,€90.85m,Premier_League,2007
,Sunderland AFC,46,25.4,33,€1.82m,€83.60m,Premier_League,2007
,Birmingham City,33,25.2,23,€2.50m,€82.50m,Premier_League,2007
,Wigan Athletic,35,27.3,23,€2.22m,€77.75m,Premier_League,2007
,Reading FC,43,25.4,30,€1.53m,€65.93m,Premier_League,2007
,Derby County,41,27.3,23,€1.23m,€50.40m,Premier_League,2007
,Chelsea FC,33,26.9,24,€13.59m,€448.55m,Premier_League,2008
,Manchester United,42,24.4,26,€10.14m,€425.95m,Premier_League,2008
,Liverpool FC,33,25.3,27,€10.39m,€342.85m,Premier_League,2008
,Arsenal FC,41,22.6,31,€7.60m,€311.45m,Premier_League,2008
,Tottenham Hotspur,43,24.3,24,€6.48m,€278.80m,Premier_League,2008
,Manchester City,39,25.1,27,€6.62m,€258.35m,Premier_League,2008
,Everton FC,32,25.3,16,€5.95m,€190.33m,Premier_League,2008
,Aston Villa,35,25.3,16,€4.50m,€157.35m,Premier_League,2008
,Portsmouth FC,36,28.2,22,€4.24m,€152.60m,Premier_League,2008
,Newcastle United,38,25.2,22,€3.54m,€134.55m,Premier_League,2008
,West Ham United,40,25.8,20,€3.35m,€133.90m,Premier_League,2008
,Sunderland AFC,44,26.0,29,€2.51m,€110.30m,Premier_League,2008
,Wigan Athletic,35,27.0,22,€2.96m,€103.75m,Premier_League,2008
,Blackburn Rovers,36,26.7,27,€2.53m,€91.20m,Premier_League,2008
,Middlesbrough FC,33,23.8,14,€2.59m,€85.45m,Premier_League,2008
,Fulham FC,38,26.8,24,€2.21m,€83.85m,Premier_League,2008
,Bolton Wanderers,33,26.4,20,€2.47m,€81.65m,Premier_League,2008
,West Bromwich Albion,35,25.4,25,€1.89m,€66.10m,Premier_League,2008
,Hull City,35,28.5,17,€1.85m,€64.70m,Premier_League,2008
,Stoke City,38,27.4,19,€1.67m,€63.45m,Premier_League,2008
,Chelsea FC,36,26.4,27,€12.55m,€451.95m,Premier_League,2009
,Manchester United,40,25.5,25,€9.62m,€384.88m,Premier_League,2009
,Liverpool FC,34,25.2,25,€9.75m,€331.55m,Premier_League,2009
,Arsenal FC,45,23.2,31,€6.98m,€314.30m,Premier_League,2009
,Manchester City,40,25.6,25,€7.81m,€312.50m,Premier_League,2009
,Tottenham Hotspur,41,24.9,20,€6.43m,€263.53m,Premier_League,2009
,Everton FC,42,24.6,23,€5.21m,€218.93m,Premier_League,2009
,Aston Villa,31,27.1,14,€5.40m,€167.38m,Premier_League,2009
,Sunderland AFC,38,26.1,26,€3.46m,€131.58m,Premier_League,2009
,West Ham United,35,25.3,20,€3.48m,€121.75m,Premier_League,2009
,Fulham FC,41,27.0,26,€2.47m,€101.18m,Premier_League,2009
,Portsmouth FC,45,27.0,29,€2.15m,€96.65m,Premier_League,2009
,Blackburn Rovers,35,26.8,29,€2.62m,€91.63m,Premier_League,2009
,Bolton Wanderers,32,26.9,18,€2.68m,€85.80m,Premier_League,2009
,Stoke City,39,27.0,18,€2.07m,€80.70m,Premier_League,2009
,Wigan Athletic,36,26.6,27,€2.16m,€77.60m,Premier_League,2009
,Hull City,37,27.6,23,€1.98m,€73.20m,Premier_League,2009
,Birmingham City,36,27.1,19,€1.93m,€69.65m,Premier_League,2009
,Wolverhampton Wanderers,37,25.7,21,€1.77m,€65.48m,Premier_League,2009
,Burnley FC,33,26.5,20,€1.46m,€48.15m,Premier_League,2009
,Chelsea FC,33,25.9,23,€12.85m,€424.10m,Premier_League,2010
,Manchester City,45,24.9,28,€8.98m,€404.18m,Premier_League,2010
,Manchester United,43,25.7,29,€9.02m,€388.00m,Premier_League,2010
,Liverpool FC,42,24.9,25,€8.08m,€339.20m,Premier_League,2010
,Arsenal FC,34,24.8,27,€9.53m,€324.00m,Premier_League,2010
,Tottenham Hotspur,38,26.3,22,€8.08m,€307.08m,Premier_League,2010
,Aston Villa,39,26.7,21,€5.20m,€202.80m,Premier_League,2010
,Everton FC,32,25.4,21,€5.76m,€184.48m,Premier_League,2010
,Sunderland AFC,39,25.2,20,€3.83m,€149.33m,Premier_League,2010
,West Ham United,40,26.4,24,€3.47m,€138.75m,Premier_League,2010
,Newcastle United,38,25.2,17,€3.14m,€119.48m,Premier_League,2010
,Fulham FC,34,28.9,27,€3.22m,€109.55m,Premier_League,2010
,Bolton Wanderers,34,26.9,18,€2.95m,€100.15m,Premier_League,2010
,Birmingham City,34,27.3,20,€2.81m,€95.38m,Premier_League,2010
,Stoke City,33,28.5,20,€2.86m,€94.45m,Premier_League,2010
,Blackburn Rovers,37,26.6,29,€2.47m,€91.53m,Premier_League,2010
,West Bromwich Albion,37,25.8,24,€2.35m,€86.88m,Premier_League,2010
