Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Juventus FC,36,27.1,15,€8.58m,€308.90m,Serie_A,2005
,AC Milan,36,27.9,17,€7.49m,€269.75m,Serie_A,2005
,Inter Milan,52,25.4,31,€4.52m,€234.93m,Serie_A,2005
,AS Roma,42,24.4,12,€4.60m,€193.20m,Serie_A,2005
,ACF Fiorentina,43,26.4,15,€3.23m,€138.68m,Serie_A,2005
,US Palermo,43,25.3,7,€2.19m,€94.20m,Serie_A,2005
,Udinese Calcio,45,24.9,17,€1.99m,€89.60m,Serie_A,2005
,SS Lazio,50,25.8,14,€1.66m,€83.05m,Serie_A,2005
,UC Sampdoria,39,26.0,5,€1.58m,€61.50m,Serie_A,2005
,Parma FC,40,24.8,8,€1.43m,€57.05m,Serie_A,2005
,AS Livorno,35,27.0,9,€1.61m,€56.38m,Serie_A,2005
,US Lecce,42,24.0,13,€1.24m,€52.15m,Serie_A,2005
,Chievo Verona,34,26.3,5,€1.46m,€49.55m,Serie_A,2005
,Reggina Calcio,42,25.1,8,€1.04m,€43.65m,Serie_A,2005
,FC Messina Peloro,42,26.1,11,€952k,€39.98m,Serie_A,2005
,FC Empoli,31,26.5,3,€1.19m,€37.00m,Serie_A,2005
,Cagliari Calcio,31,25.4,5,€1.15m,€35.65m,Serie_A,2005
,AC Siena,33,28.1,6,€1.06m,€34.98m,Serie_A,2005
,Ascoli Calcio 1898,48,25.8,6,€511k,€24.55m,Serie_A,2005
,Treviso FBC 1993,51,25.5,13,€461k,€23.53m,Serie_A,2005
,AC Milan,43,27.5,16,€6.38m,€274.35m,Serie_A,2006
,Inter Milan,58,24.4,31,€4.61m,€267.23m,Serie_A,2006
,AS Roma,40,25.2,17,€5.52m,€220.65m,Serie_A,2006
,ACF Fiorentina,38,24.6,15,€4.20m,€159.60m,Serie_A,2006
,US Palermo,51,24.4,8,€2.50m,€127.28m,Serie_A,2006
,SS Lazio,34,27.2,10,€3.10m,€105.35m,Serie_A,2006
,Udinese Calcio,52,22.5,25,€2.01m,€104.58m,Serie_A,2006
,Chievo Verona,54,25.4,9,€1.55m,€83.50m,Serie_A,2006
,UC Sampdoria,42,24.9,9,€1.65m,€69.45m,Serie_A,2006
,AS Livorno,34,28.4,11,€2.01m,€68.33m,Serie_A,2006
,Torino FC,37,29.4,7,€1.50m,€55.55m,Serie_A,2006
,Atalanta BC,40,26.0,8,€1.34m,€53.48m,Serie_A,2006
,Reggina Calcio,44,24.5,7,€1.14m,€50.10m,Serie_A,2006
,Parma FC,39,24.5,8,€1.20m,€46.90m,Serie_A,2006
,AC Siena,39,26.6,12,€1.18m,€46.08m,Serie_A,2006
,Cagliari Calcio,36,25.2,5,€1.25m,€45.15m,Serie_A,2006
,FC Empoli,36,24.6,2,€1.23m,€44.30m,Serie_A,2006
,FC Messina Peloro,46,27.0,12,€882k,€40.58m,Serie_A,2006
,Calcio Catania,36,27.7,6,€1.07m,€38.60m,Serie_A,2006
,Ascoli Calcio 1898,47,26.4,9,€549k,€25.80m,Serie_A,2006
,Inter Milan,48,26.0,31,€6.46m,€310.00m,Serie_A,2007
,AC Milan,41,27.6,18,€6.81m,€279.40m,Serie_A,2007
,AS Roma,37,26.3,19,€6.61m,€244.40m,Serie_A,2007
,Juventus FC,38,25.8,14,€6.23m,€236.85m,Serie_A,2007
,ACF Fiorentina,46,23.8,16,€3.73m,€171.35m,Serie_A,2007
,Udinese Calcio,49,23.2,24,€2.35m,€115.05m,Serie_A,2007
,SS Lazio,40,26.5,15,€2.77m,€110.80m,Serie_A,2007
,US Palermo,43,24.2,6,€2.44m,€104.80m,Serie_A,2007
,SSC Napoli,30,27.2,9,€2.57m,€76.95m,Serie_A,2007
,UC Sampdoria,41,24.8,8,€1.85m,€75.70m,Serie_A,2007
,Genoa CFC,45,25.3,17,€1.41m,€63.25m,Serie_A,2007
,Torino FC,40,25.8,8,€1.50m,€60.05m,Serie_A,2007
,Calcio Catania,40,27.4,11,€1.46m,€58.40m,Serie_A,2007
,Atalanta BC,38,26.0,10,€1.44m,€54.80m,Serie_A,2007
,Parma FC,41,25.9,7,€1.28m,€52.50m,Serie_A,2007
,FC Empoli,38,24.7,3,€1.30m,€49.50m,Serie_A,2007
,AS Livorno,36,27.3,10,€1.34m,€48.35m,Serie_A,2007
,Reggina Calcio,45,23.7,15,€983k,€44.23m,Serie_A,2007
,AC Siena,42,26.4,18,€1.02m,€42.80m,Serie_A,2007
,Cagliari Calcio,42,25.0,11,€981k,€41.20m,Serie_A,2007
,Inter Milan,32,28.5,25,€10.25m,€327.90m,Serie_A,2008
,AC Milan,35,28.1,19,€9.13m,€319.40m,Serie_A,2008
,AS Roma,40,26.3,18,€6.67m,€266.80m,Serie_A,2008
,Juventus FC,34,27.1,14,€7.55m,€256.85m,Serie_A,2008
,ACF Fiorentina,38,25.5,18,€5.19m,€197.10m,Serie_A,2008
,Udinese Calcio,37,24.1,20,€3.37m,€124.65m,Serie_A,2008
,SS Lazio,37,25.9,17,€2.96m,€109.65m,Serie_A,2008
,US Palermo,47,24.4,11,€2.26m,€106.35m,Serie_A,2008
,SSC Napoli,31,27.4,10,€3.27m,€101.50m,Serie_A,2008
,UC Sampdoria,47,24.0,12,€2.01m,€94.30m,Serie_A,2008
,Genoa CFC,47,23.6,15,€1.95m,€91.70m,Serie_A,2008
,Torino FC,35,27.7,4,€1.85m,€64.90m,Serie_A,2008
,Atalanta BC,36,25.4,7,€1.78m,€64.20m,Serie_A,2008
,Calcio Catania,37,26.8,12,€1.35m,€49.90m,Serie_A,2008
,US Lecce,43,25.5,21,€1.06m,€45.78m,Serie_A,2008
,Cagliari Calcio,36,24.6,6,€1.27m,€45.68m,Serie_A,2008
,AC Siena,40,25.6,17,€1.13m,€45.30m,Serie_A,2008
,Bologna FC 1909,34,28.8,7,€1.19m,€40.30m,Serie_A,2008
,Chievo Verona,38,27.5,11,€1.01m,€38.25m,Serie_A,2008
,Reggina Calcio,42,24.7,13,€854k,€35.85m,Serie_A,2008
,Inter Milan,47,25.4,31,€8.44m,€396.50m,Serie_A,2009
,Juventus FC,44,26.0,14,€6.21m,€273.10m,Serie_A,2009
,AC Milan,41,27.3,16,€6.25m,€256.45m,Serie_A,2009
,AS Roma,45,25.8,20,€5.45m,€245.15m,Serie_A,2009
,ACF Fiorentina,46,24.5,22,€4.55m,€209.30m,Serie_A,2009
,SSC Napoli,34,27.1,12,€4.28m,€145.63m,Serie_A,2009
